'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.905535278320312500e+02,7.905535278320312500e+02,7.899783935546875000e+02,7.899896850585937500e+02,7.903895263671875000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.903876342773437500e+02,7.903875732421875000e+02,7.898282470703125000e+02,7.898394775390625000e+02,7.902329101562500000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.902210693359375000e+02,7.902210693359375000e+02,7.896744995117187500e+02,7.896858520507812500e+02,7.900759887695312500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.900540771484375000e+02,7.900540161132812500e+02,7.895178222656250000e+02,7.895293579101562500e+02,7.899207763671875000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.898865966796875000e+02,7.898865356445312500e+02,7.893587036132812500e+02,7.893705444335937500e+02,7.897657470703125000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.897187500000000000e+02,7.897187500000000000e+02,7.891976318359375000e+02,7.892098388671875000e+02,7.896135864257812500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.099999542236328125e+02,7.895506591796875000e+02,7.895506591796875000e+02,7.890348510742187500e+02,7.890476684570312500e+02,7.894598999023437500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100022277832031250e+02,7.893823852539062500e+02,7.893823242187500000e+02,7.888707275390625000e+02,7.888842773437500000e+02,7.892716064453125000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100291595458984375e+02,7.892141723632812500e+02,7.892141723632812500e+02,7.887054443359375000e+02,7.887198486328125000e+02,7.890145874023437500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.101228485107421875e+02,7.890607910156250000e+02,7.890604858398437500e+02,7.885392456054687500e+02,7.885546875000000000e+02,7.886926269531250000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.102927551269531250e+02,7.889106445312500000e+02,7.889098510742187500e+02,7.883722534179687500e+02,7.883888549804687500e+02,7.881746826171875000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.105096969604492188e+02,7.887478637695312500e+02,7.887470703125000000e+02,7.882045898437500000e+02,7.882225341796875000e+02,7.873451538085937500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.107479934692382812e+02,7.885823974609375000e+02,7.885815429687500000e+02,7.880363769531250000e+02,7.880557861328125000e+02,7.867714233398437500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.109909362792968750e+02,7.884152832031250000e+02,7.884144287109375000e+02,7.878676757812500000e+02,7.878889160156250000e+02,7.863425292968750000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.112264251708984375e+02,7.882478637695312500e+02,7.882471313476562500e+02,7.876986694335937500e+02,7.877218627929687500e+02,7.859613647460937500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.114520263671875000e+02,7.880819702148437500e+02,7.880812988281250000e+02,7.875293579101562500e+02,7.875563354492187500e+02,7.855791625976562500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.116676483154296875e+02,7.879194335937500000e+02,7.879188232421875000e+02,7.873600463867187500e+02,7.873970336914062500e+02,7.852479248046875000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.118725051879882812e+02,7.877603149414062500e+02,7.877598266601562500e+02,7.871911010742187500e+02,7.872411499023437500e+02,7.849504394531250000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.120678558349609375e+02,7.875751953125000000e+02,7.875746459960937500e+02,7.870275268554687500e+02,7.870789794921875000e+02,7.845714111328125000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.122626190185546875e+02,7.873408203125000000e+02,7.873382568359375000e+02,7.868619995117187500e+02,7.869131469726562500e+02,7.840184326171875000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.124483184814453125e+02,7.870772705078125000e+02,7.870741577148437500e+02,7.866959838867187500e+02,7.867485961914062500e+02,7.833567504882812500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.126277542114257812e+02,7.867748413085937500e+02,7.867717895507812500e+02,7.865291137695312500e+02,7.865840454101562500e+02,7.826010131835937500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.128018646240234375e+02,7.863027343750000000e+02,7.862971191406250000e+02,7.863596801757812500e+02,7.864196166992187500e+02,7.817716064453125000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.129723968505859375e+02,7.855505981445312500e+02,7.854848022460937500e+02,7.861795043945312500e+02,7.862541503906250000e+02,7.809067993164062500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.131411056518554688e+02,7.848787231445312500e+02,7.848297729492187500e+02,7.859865112304687500e+02,7.860850219726562500e+02,7.800250244140625000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.133096847534179688e+02,7.843544311523437500e+02,7.843280639648437500e+02,7.857727661132812500e+02,7.858966674804687500e+02,7.791072998046875000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000076293945312e+02,1.100000000000000000e+02,1.134882888793945312e+02,7.838324584960937500e+02,7.838118896484375000e+02,7.855325927734375000e+02,7.856876220703125000e+02,7.782002563476562500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000076293945312e+02,1.100000000000000000e+02,1.137922439575195312e+02,7.832641601562500000e+02,7.832349243164062500e+02,7.852589721679687500e+02,7.854592285156250000e+02,7.772699584960937500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000076293945312e+02,1.100000000000000000e+02,1.141722259521484375e+02,7.825925903320312500e+02,7.825412597656250000e+02,7.849575195312500000e+02,7.851971435546875000e+02,7.762969970703125000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000152587890625e+02,1.100000000000000000e+02,1.145051651000976562e+02,7.817777099609375000e+02,7.817319946289062500e+02,7.842720336914062500e+02,7.845911865234375000e+02,7.753600463867187500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000152587890625e+02,1.100000000000000000e+02,1.151419067382812500e+02,7.806655883789062500e+02,7.806108398437500000e+02,7.824035644531250000e+02,7.833820800781250000e+02,7.742514038085937500e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
