'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
9.000313568115234375e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.658258056640625000e+02,7.658258056640625000e+02,7.649622192382812500e+02,7.649622192382812500e+02,7.658258056640625000e+02
9.001277160644531250e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000257110595703125e+01,9.000000000000000000e+01,7.644630737304687500e+02,7.644630737304687500e+02,7.645048217773437500e+02,7.645045166015625000e+02,7.644675292968750000e+02
9.001278686523437500e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000257873535156250e+01,9.000000000000000000e+01,7.644604492187500000e+02,7.644604492187500000e+02,7.645039062500000000e+02,7.645036621093750000e+02,7.644649047851562500e+02
9.001280975341796875e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000257873535156250e+01,9.000000000000000000e+01,7.644577636718750000e+02,7.644577636718750000e+02,7.645030517578125000e+02,7.645027465820312500e+02,7.644622802734375000e+02
9.001280975341796875e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000257873535156250e+01,9.000000000000000000e+01,7.644574584960937500e+02,7.644574584960937500e+02,7.645029296875000000e+02,7.645026245117187500e+02,7.644619140625000000e+02
9.001280975341796875e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000257873535156250e+01,9.000000000000000000e+01,7.644567871093750000e+02,7.644567871093750000e+02,7.645027465820312500e+02,7.645024414062500000e+02,7.644612426757812500e+02
9.001281738281250000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000258636474609375e+01,9.000000000000000000e+01,7.644558105468750000e+02,7.644558105468750000e+02,7.645023803710937500e+02,7.645020751953125000e+02,7.644602661132812500e+02
9.001283264160156250e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000258636474609375e+01,9.000000000000000000e+01,7.644537963867187500e+02,7.644537963867187500e+02,7.645017089843750000e+02,7.645014038085937500e+02,7.644583129882812500e+02
9.001286315917968750e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000259399414062500e+01,9.000000000000000000e+01,7.644498291015625000e+02,7.644498291015625000e+02,7.645003662109375000e+02,7.645001220703125000e+02,7.644543457031250000e+02
9.001287841796875000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000260162353515625e+01,9.000000000000000000e+01,7.644478759765625000e+02,7.644478149414062500e+02,7.644997558593750000e+02,7.644994506835937500e+02,7.644523315429687500e+02
9.001290130615234375e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000260925292968750e+01,9.000000000000000000e+01,7.644438476562500000e+02,7.644438476562500000e+02,7.644984130859375000e+02,7.644981079101562500e+02,7.644483642578125000e+02
9.001294708251953125e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000261688232421875e+01,9.000000000000000000e+01,7.644378662109375000e+02,7.644378662109375000e+02,7.644963989257812500e+02,7.644960937500000000e+02,7.644423828125000000e+02
9.001300811767578125e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000263214111328125e+01,9.000000000000000000e+01,7.644287719726562500e+02,7.644287719726562500e+02,7.644934082031250000e+02,7.644931640625000000e+02,7.644333496093750000e+02
9.001306915283203125e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000265502929687500e+01,9.000000000000000000e+01,7.644203491210937500e+02,7.644203491210937500e+02,7.644906616210937500e+02,7.644903564453125000e+02,7.644249877929687500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.012299804687500000e+02,8.012299804687500000e+02,8.002683105468750000e+02,8.002683105468750000e+02,8.012299804687500000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.951070556640625000e+02,7.951070556640625000e+02,7.941629028320312500e+02,7.941629028320312500e+02,7.951070556640625000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.891104125976562500e+02,7.891104125976562500e+02,7.881831665039062500e+02,7.881831665039062500e+02,7.891104125976562500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.832354736328125000e+02,7.832354736328125000e+02,7.823245849609375000e+02,7.823245849609375000e+02,7.832354736328125000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.774779663085937500e+02,7.774779663085937500e+02,7.765829467773437500e+02,7.765829467773437500e+02,7.774779663085937500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.718339233398437500e+02,7.718339233398437500e+02,7.709542236328125000e+02,7.709542236328125000e+02,7.718339233398437500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.662994384765625000e+02,7.662994384765625000e+02,7.654345703125000000e+02,7.654345703125000000e+02,7.662994384765625000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,3.541111450195312500e+02,3.541111450195312500e+02,3.541111450195312500e+02,3.541111450195312500e+02,3.541111450195312500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,3.687968139648437500e+02,3.687968139648437500e+02,3.687968139648437500e+02,3.687968139648437500e+02,3.687968139648437500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,3.834170837402343750e+02,3.834170837402343750e+02,3.834170837402343750e+02,3.834170837402343750e+02,3.834170837402343750e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,3.979728393554687500e+02,3.979728393554687500e+02,3.979728393554687500e+02,3.979728393554687500e+02,3.979728393554687500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.124810485839843750e+02,4.124810485839843750e+02,4.124810485839843750e+02,4.124810485839843750e+02,4.124810485839843750e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.269446411132812500e+02,4.269446411132812500e+02,4.269446411132812500e+02,4.269446411132812500e+02,4.269446411132812500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.413640136718750000e+02,4.413640136718750000e+02,4.413640136718750000e+02,4.413640136718750000e+02,4.413640136718750000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.557395629882812500e+02,4.557395629882812500e+02,4.557395629882812500e+02,4.557395629882812500e+02,4.557395629882812500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.700717163085937500e+02,4.700717163085937500e+02,4.700717163085937500e+02,4.700717163085937500e+02,4.700717163085937500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.843608398437500000e+02,4.843608398437500000e+02,4.843608398437500000e+02,4.843608398437500000e+02,4.843608398437500000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.986072998046875000e+02,4.986072998046875000e+02,4.986072998046875000e+02,4.986072998046875000e+02,4.986072998046875000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.128242187500000000e+02,5.128242187500000000e+02,5.128242187500000000e+02,5.128242187500000000e+02,5.128242187500000000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.270131225585937500e+02,5.270131225585937500e+02,5.270131225585937500e+02,5.270131225585937500e+02,5.270131225585937500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.411740722656250000e+02,5.411740722656250000e+02,5.411740722656250000e+02,5.411740722656250000e+02,5.411740722656250000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.553073120117187500e+02,5.553073120117187500e+02,5.553073120117187500e+02,5.553073120117187500e+02,5.553073120117187500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.694130249023437500e+02,5.694130249023437500e+02,5.694130249023437500e+02,5.694130249023437500e+02,5.694130249023437500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.834913330078125000e+02,5.834913330078125000e+02,5.834913330078125000e+02,5.834913330078125000e+02,5.834913330078125000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.975423583984375000e+02,5.975423583984375000e+02,5.975423583984375000e+02,5.975423583984375000e+02,5.975423583984375000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.115747070312500000e+02,6.115747070312500000e+02,6.115747070312500000e+02,6.115747070312500000e+02,6.115747070312500000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.255901489257812500e+02,6.255901489257812500e+02,6.255901489257812500e+02,6.255901489257812500e+02,6.255901489257812500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.395887451171875000e+02,6.395887451171875000e+02,6.395887451171875000e+02,6.395887451171875000e+02,6.395887451171875000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.535706176757812500e+02,6.535706176757812500e+02,6.535706176757812500e+02,6.535706176757812500e+02,6.535706176757812500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.675357666015625000e+02,6.675357666015625000e+02,6.675357666015625000e+02,6.675357666015625000e+02,6.675357666015625000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.814842529296875000e+02,6.814842529296875000e+02,6.814842529296875000e+02,6.814842529296875000e+02,6.814842529296875000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.954161376953125000e+02,6.954161376953125000e+02,6.954161376953125000e+02,6.954161376953125000e+02,6.954161376953125000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.093337402343750000e+02,7.093337402343750000e+02,7.093337402343750000e+02,7.093337402343750000e+02,7.093337402343750000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.232381591796875000e+02,7.232381591796875000e+02,7.232381591796875000e+02,7.232381591796875000e+02,7.232381591796875000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.371294555664062500e+02,7.371294555664062500e+02,7.371294555664062500e+02,7.371294555664062500e+02,7.371294555664062500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.510075683593750000e+02,7.510075683593750000e+02,7.510075683593750000e+02,7.510075683593750000e+02,7.510075683593750000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.648726806640625000e+02,7.648726806640625000e+02,7.648726806640625000e+02,7.648726806640625000e+02,7.648726806640625000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.787247314453125000e+02,7.787247314453125000e+02,7.787247314453125000e+02,7.787247314453125000e+02,7.787247314453125000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.925637207031250000e+02,7.925637207031250000e+02,7.925637207031250000e+02,7.925637207031250000e+02,7.925637207031250000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.063867797851562500e+02,8.063867797851562500e+02,8.063867797851562500e+02,8.063867797851562500e+02,8.063867797851562500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.201904907226562500e+02,8.201904907226562500e+02,8.201904907226562500e+02,8.201904907226562500e+02,8.201904907226562500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.339749145507812500e+02,8.339749145507812500e+02,8.339749145507812500e+02,8.339749145507812500e+02,8.339749145507812500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.477401123046875000e+02,8.477401123046875000e+02,8.477401123046875000e+02,8.477401123046875000e+02,8.477401123046875000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.614862060546875000e+02,8.614862060546875000e+02,8.614862060546875000e+02,8.614862060546875000e+02,8.614862060546875000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.752132568359375000e+02,8.752132568359375000e+02,8.752132568359375000e+02,8.752132568359375000e+02,8.752132568359375000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.889213256835937500e+02,8.889213256835937500e+02,8.889213256835937500e+02,8.889213256835937500e+02,8.889213256835937500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.026099243164062500e+02,9.026099243164062500e+02,9.026099243164062500e+02,9.026099243164062500e+02,9.026099243164062500e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
