'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
1.438315887451171875e+02,1.102148742675781250e+02,1.101375579833984375e+02,1.187061386108398438e+02,1.174319915771484375e+02,4.631245727539062500e+02,4.631264038085937500e+02,4.638834228515625000e+02,4.624088745117187500e+02,4.624540710449218750e+02
1.444028167724609375e+02,1.102353363037109375e+02,1.101517333984375000e+02,1.189158096313476562e+02,1.177469329833984375e+02,4.572731018066406250e+02,4.572748413085937500e+02,4.581520690917968750e+02,4.566755065917968750e+02,4.567581176757812500e+02
1.449624328613281250e+02,1.102568359375000000e+02,1.101667480468750000e+02,1.191201324462890625e+02,1.180596847534179688e+02,4.515383300781250000e+02,4.515400085449218750e+02,4.525301818847656250e+02,4.510518798828125000e+02,4.511204833984375000e+02
1.455115966796875000e+02,1.102793655395507812e+02,1.101825866699218750e+02,1.193187103271484375e+02,1.183698730468750000e+02,4.459163208007812500e+02,4.459179382324218750e+02,4.470157470703125000e+02,4.455362243652343750e+02,4.455797729492187500e+02
1.460512695312500000e+02,1.103029251098632812e+02,1.101992568969726562e+02,1.195112152099609375e+02,1.186771316528320312e+02,4.404036560058593750e+02,4.404052124023437500e+02,4.416067810058593750e+02,4.401266784667968750e+02,4.401421508789062500e+02
1.465822448730468750e+02,1.103275146484375000e+02,1.102167587280273438e+02,1.196976165771484375e+02,1.189811477661132812e+02,4.349974365234375000e+02,4.349989013671875000e+02,4.363011474609375000e+02,4.348209533691406250e+02,4.348069152832031250e+02
1.471051788330078125e+02,1.103531112670898438e+02,1.102350921630859375e+02,1.198781127929687500e+02,1.192816390991210938e+02,4.296950683593750000e+02,4.296965026855468750e+02,4.310965576171875000e+02,4.296160583496093750e+02,4.295719909667968750e+02
1.476206207275390625e+02,1.103797149658203125e+02,1.102542572021484375e+02,1.200530014038085938e+02,1.195783233642578125e+02,4.244943237304687500e+02,4.244956665039062500e+02,4.259913940429687500e+02,4.245096435546875000e+02,4.244353027343750000e+02
1.481290130615234375e+02,1.104073104858398438e+02,1.102742538452148438e+02,1.202225646972656250e+02,1.198709030151367188e+02,4.193929748535156250e+02,4.193942565917968750e+02,4.209838867187500000e+02,4.194984436035156250e+02,4.193948974609375000e+02
1.486307678222656250e+02,1.104358901977539062e+02,1.102950668334960938e+02,1.203870697021484375e+02,1.201591186523437500e+02,4.143889465332031250e+02,4.143901977539062500e+02,4.160721435546875000e+02,4.145786437988281250e+02,4.144488525390625000e+02
1.491262054443359375e+02,1.104654312133789062e+02,1.103167037963867188e+02,1.205467529296875000e+02,1.204427566528320312e+02,4.094802856445312500e+02,4.094814758300781250e+02,4.112541198730468750e+02,4.097465515136718750e+02,4.095953979492187500e+02
1.496156311035156250e+02,1.104959259033203125e+02,1.103391418457031250e+02,1.207018127441406250e+02,1.207216415405273438e+02,4.046649780273437500e+02,4.046661071777343750e+02,4.065278625488281250e+02,4.049986267089843750e+02,4.048327941894531250e+02
1.500992279052734375e+02,1.105273590087890625e+02,1.103623886108398438e+02,1.208524322509765625e+02,1.209956130981445312e+02,3.999359741210937500e+02,3.999370422363281250e+02,4.018912048339843750e+02,4.003312072753906250e+02,4.001547546386718750e+02
1.505771636962890625e+02,1.105597076416015625e+02,1.103864288330078125e+02,1.209987182617187500e+02,1.212645263671875000e+02,3.952833251953125000e+02,3.952843627929687500e+02,3.973436584472656250e+02,3.957475585937500000e+02,3.955512084960937500e+02
1.510494689941406250e+02,1.105929565429687500e+02,1.104112472534179688e+02,1.211407775878906250e+02,1.215282745361328125e+02,3.907150268554687500e+02,3.907159729003906250e+02,3.928849487304687500e+02,3.912418823242187500e+02,3.910298767089843750e+02
1.515161437988281250e+02,1.106270980834960938e+02,1.104368362426757812e+02,1.212787017822265625e+02,1.217867813110351562e+02,3.862314758300781250e+02,3.862323913574218750e+02,3.885062866210937500e+02,3.868071594238281250e+02,3.865914306640625000e+02
