'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
9.000327301025390625e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.957888793945312500e+02,7.957888793945312500e+02,7.948428344726562500e+02,7.948428344726562500e+02,7.957888793945312500e+02
9.001335144042968750e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000267791748046875e+01,9.000000000000000000e+01,7.943339843750000000e+02,7.943339843750000000e+02,7.943348999023437500e+02,7.943345947265625000e+02,7.943388061523437500e+02
9.001336669921875000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000267791748046875e+01,9.000000000000000000e+01,7.943311767578125000e+02,7.943311767578125000e+02,7.943339233398437500e+02,7.943335571289062500e+02,7.943359985351562500e+02
9.001338958740234375e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000268554687500000e+01,9.000000000000000000e+01,7.943283691406250000e+02,7.943283691406250000e+02,7.943329467773437500e+02,7.943325805664062500e+02,7.943331909179687500e+02
9.001342773437500000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000269317626953125e+01,9.000000000000000000e+01,7.943226928710937500e+02,7.943226928710937500e+02,7.943309326171875000e+02,7.943306274414062500e+02,7.943275756835937500e+02
9.001348876953125000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000270843505859375e+01,9.000000000000000000e+01,7.943142089843750000e+02,7.943142089843750000e+02,7.943280029296875000e+02,7.943276977539062500e+02,7.943190917968750000e+02
9.001358032226562500e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000273895263671875e+01,9.000000000000000000e+01,7.943013305664062500e+02,7.943013305664062500e+02,7.943236083984375000e+02,7.943232421875000000e+02,7.943062744140625000e+02
9.001366424560546875e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000276184082031250e+01,9.000000000000000000e+01,7.942883911132812500e+02,7.942883911132812500e+02,7.943191528320312500e+02,7.943188476562500000e+02,7.942933349609375000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.908562622070312500e+02,8.908562622070312500e+02,8.896098632812500000e+02,8.896098632812500000e+02,8.908562622070312500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.834136352539062500e+02,8.834136352539062500e+02,8.821929931640625000e+02,8.821929931640625000e+02,8.834136352539062500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.761422119140625000e+02,8.761422119140625000e+02,8.749462890625000000e+02,8.749462890625000000e+02,8.761422119140625000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.690352172851562500e+02,8.690352172851562500e+02,8.678631591796875000e+02,8.678631591796875000e+02,8.690352172851562500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.613948364257812500e+02,8.613948364257812500e+02,8.602479858398437500e+02,8.602479858398437500e+02,8.613948364257812500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.539378051757812500e+02,8.539378051757812500e+02,8.528152465820312500e+02,8.528152465820312500e+02,8.539378051757812500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.466565551757812500e+02,8.466565551757812500e+02,8.455573120117187500e+02,8.455573120117187500e+02,8.466565551757812500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.395440673828125000e+02,8.395440673828125000e+02,8.384672851562500000e+02,8.384672851562500000e+02,8.395440673828125000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.325936279296875000e+02,8.325936279296875000e+02,8.315383911132812500e+02,8.315383911132812500e+02,8.325936279296875000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.257988281250000000e+02,8.257988281250000000e+02,8.247644042968750000e+02,8.247644042968750000e+02,8.257988281250000000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.191537475585937500e+02,8.191537475585937500e+02,8.181394042968750000e+02,8.181394042968750000e+02,8.191537475585937500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.126527099609375000e+02,8.126527099609375000e+02,8.116577148437500000e+02,8.116577148437500000e+02,8.126527099609375000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.062904052734375000e+02,8.062904052734375000e+02,8.053140258789062500e+02,8.053140258789062500e+02,8.062904052734375000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.000617065429687500e+02,8.000617065429687500e+02,7.991033935546875000e+02,7.991033935546875000e+02,8.000617065429687500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.963150024414062500e+02,7.963150024414062500e+02,7.953673706054687500e+02,7.953673706054687500e+02,7.963150024414062500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.031067199707031250e+02,4.031067199707031250e+02,4.031067199707031250e+02,4.031067199707031250e+02,4.031067199707031250e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.184535827636718750e+02,4.184535827636718750e+02,4.184535827636718750e+02,4.184535827636718750e+02,4.184535827636718750e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.337506103515625000e+02,4.337506103515625000e+02,4.337506103515625000e+02,4.337506103515625000e+02,4.337506103515625000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.489982910156250000e+02,4.489982910156250000e+02,4.489982910156250000e+02,4.489982910156250000e+02,4.489982910156250000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.641970520019531250e+02,4.641970520019531250e+02,4.641970520019531250e+02,4.641970520019531250e+02,4.641970520019531250e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.793473510742187500e+02,4.793473510742187500e+02,4.793473510742187500e+02,4.793473510742187500e+02,4.793473510742187500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,4.944497070312500000e+02,4.944497070312500000e+02,4.944497070312500000e+02,4.944497070312500000e+02,4.944497070312500000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.095145874023437500e+02,5.095145874023437500e+02,5.095145874023437500e+02,5.095145874023437500e+02,5.095145874023437500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.245479736328125000e+02,5.245479736328125000e+02,5.245479736328125000e+02,5.245479736328125000e+02,5.245479736328125000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.395499877929687500e+02,5.395499877929687500e+02,5.395499877929687500e+02,5.395499877929687500e+02,5.395499877929687500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.545209350585937500e+02,5.545209350585937500e+02,5.545209350585937500e+02,5.545209350585937500e+02,5.545209350585937500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.694609375000000000e+02,5.694609375000000000e+02,5.694609375000000000e+02,5.694609375000000000e+02,5.694609375000000000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.843701782226562500e+02,5.843701782226562500e+02,5.843701782226562500e+02,5.843701782226562500e+02,5.843701782226562500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,5.992489013671875000e+02,5.992489013671875000e+02,5.992489013671875000e+02,5.992489013671875000e+02,5.992489013671875000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.141080932617187500e+02,6.141080932617187500e+02,6.141080932617187500e+02,6.141080932617187500e+02,6.141080932617187500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.289483642578125000e+02,6.289483642578125000e+02,6.289483642578125000e+02,6.289483642578125000e+02,6.289483642578125000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.437697143554687500e+02,6.437697143554687500e+02,6.437697143554687500e+02,6.437697143554687500e+02,6.437697143554687500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.585723266601562500e+02,6.585723266601562500e+02,6.585723266601562500e+02,6.585723266601562500e+02,6.585723266601562500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.733562011718750000e+02,6.733562011718750000e+02,6.733562011718750000e+02,6.733562011718750000e+02,6.733562011718750000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,6.881214599609375000e+02,6.881214599609375000e+02,6.881214599609375000e+02,6.881214599609375000e+02,6.881214599609375000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.028688354492187500e+02,7.028688354492187500e+02,7.028688354492187500e+02,7.028688354492187500e+02,7.028688354492187500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.176014404296875000e+02,7.176014404296875000e+02,7.176014404296875000e+02,7.176014404296875000e+02,7.176014404296875000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.323192749023437500e+02,7.323192749023437500e+02,7.323192749023437500e+02,7.323192749023437500e+02,7.323192749023437500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.470223999023437500e+02,7.470223999023437500e+02,7.470223999023437500e+02,7.470223999023437500e+02,7.470223999023437500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.617108154296875000e+02,7.617108154296875000e+02,7.617108154296875000e+02,7.617108154296875000e+02,7.617108154296875000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.763845825195312500e+02,7.763845825195312500e+02,7.763845825195312500e+02,7.763845825195312500e+02,7.763845825195312500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,7.910437622070312500e+02,7.910437622070312500e+02,7.910437622070312500e+02,7.910437622070312500e+02,7.910437622070312500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.056855468750000000e+02,8.056855468750000000e+02,8.056855468750000000e+02,8.056855468750000000e+02,8.056855468750000000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.203056640625000000e+02,8.203056640625000000e+02,8.203056640625000000e+02,8.203056640625000000e+02,8.203056640625000000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.349041137695312500e+02,8.349041137695312500e+02,8.349041137695312500e+02,8.349041137695312500e+02,8.349041137695312500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.494810180664062500e+02,8.494810180664062500e+02,8.494810180664062500e+02,8.494810180664062500e+02,8.494810180664062500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.640364990234375000e+02,8.640364990234375000e+02,8.640364990234375000e+02,8.640364990234375000e+02,8.640364990234375000e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.785706176757812500e+02,8.785706176757812500e+02,8.785706176757812500e+02,8.785706176757812500e+02,8.785706176757812500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,8.930835571289062500e+02,8.930835571289062500e+02,8.930835571289062500e+02,8.930835571289062500e+02,8.930835571289062500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.075734252929687500e+02,9.075734252929687500e+02,9.075734252929687500e+02,9.075734252929687500e+02,9.075734252929687500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.220387573242187500e+02,9.220387573242187500e+02,9.220387573242187500e+02,9.220387573242187500e+02,9.220387573242187500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.364796752929687500e+02,9.364796752929687500e+02,9.364796752929687500e+02,9.364796752929687500e+02,9.364796752929687500e+02
9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.000000000000000000e+01,9.508962402343750000e+02,9.508962402343750000e+02,9.508962402343750000e+02,9.508962402343750000e+02,9.508962402343750000e+02
